compound,created_at,retweet_count
-0.6166,2022-03-30 03:23:40+00:00,108
-0.296,2022-03-30 03:23:39+00:00,372
0.5473,2022-03-30 03:23:38+00:00,327
0.7184,2022-03-30 03:23:38+00:00,921
0.4199,2022-03-30 03:23:37+00:00,226
-0.3818,2022-03-30 03:23:34+00:00,333
0.7184,2022-03-30 03:23:34+00:00,921
-0.4574,2022-03-30 03:23:26+00:00,175
0.7184,2022-03-30 03:23:19+00:00,921
0.5106,2022-03-30 03:23:14+00:00,286
0.6239,2022-03-30 03:23:11+00:00,1142
0.6166,2022-03-30 03:23:09+00:00,186
0.5473,2022-03-30 03:23:03+00:00,327
0.6124,2022-03-30 03:23:01+00:00,100
-0.2961,2022-03-30 03:23:00+00:00,226
0.0258,2022-03-30 03:22:56+00:00,248
0.8269,2022-03-30 03:22:55+00:00,30900
0.25,2022-03-30 03:22:42+00:00,1086
-0.8225,2022-03-30 03:22:40+00:00,127
0.2003,2022-03-30 03:22:39+00:00,662
0.6124,2022-03-30 03:22:33+00:00,100
-0.4767,2022-03-30 03:22:31+00:00,1277
0.5473,2022-03-30 03:22:28+00:00,327
-0.3818,2022-03-30 03:22:27+00:00,333
-0.4767,2022-03-30 03:22:21+00:00,1277
0.7184,2022-03-30 03:22:18+00:00,921
-0.6166,2022-03-30 03:22:16+00:00,108
0.6908,2022-03-30 03:22:14+00:00,205
0.5473,2022-03-30 03:22:14+00:00,327
0.6808,2022-03-30 03:22:12+00:00,110
0.2732,2022-03-30 03:22:10+00:00,581
0.4939,2022-03-30 03:22:09+00:00,203
0.7184,2022-03-30 03:22:00+00:00,921
0.7351,2022-03-30 03:21:59+00:00,570
0.7184,2022-03-30 03:21:56+00:00,921
-0.2961,2022-03-30 03:21:53+00:00,226
0.5473,2022-03-30 03:21:51+00:00,327
0.7184,2022-03-30 03:21:51+00:00,921
0.7184,2022-03-30 03:21:49+00:00,921
0.5473,2022-03-30 03:21:47+00:00,327
-0.3818,2022-03-30 03:21:47+00:00,333
0.5473,2022-03-30 03:21:46+00:00,327
0.7184,2022-03-30 03:21:42+00:00,921
0.5473,2022-03-30 03:21:31+00:00,327
0.5473,2022-03-30 03:21:26+00:00,327
0.5473,2022-03-30 03:21:23+00:00,327
0.4902,2022-03-30 03:21:16+00:00,109
0.0772,2022-03-30 03:21:15+00:00,115
0.5423,2022-03-30 03:21:14+00:00,239
0.7717,2022-03-30 03:21:11+00:00,544
-0.4767,2022-03-30 03:21:10+00:00,1277
0.5473,2022-03-30 03:21:05+00:00,327
0.4767,2022-03-30 03:21:05+00:00,751
-0.4939,2022-03-30 03:21:03+00:00,534
0.6369,2022-03-30 03:20:59+00:00,255
-0.296,2022-03-30 03:20:55+00:00,240
0.7184,2022-03-30 03:20:46+00:00,921
0.5473,2022-03-30 03:20:46+00:00,327
0.2263,2022-03-30 03:20:43+00:00,182
0.9153,2022-03-30 03:20:42+00:00,8775
0.7184,2022-03-30 03:20:40+00:00,921
0.8269,2022-03-30 03:20:39+00:00,30900
0.4767,2022-03-30 03:20:38+00:00,493
